cod_cnes,competencia,cod_proced,cod_cbo,qtd_apresentada,qtd_aprovada,val_apresentado,val_aprovado,situacao
2066327,2026-04-01,0202010660,223415,225,225,927.00,927.00,
2066327,2026-04-01,0202010678,223415,3257,3257,11432.07,11432.07,
2066327,2026-04-01,0202010694,223415,2666,2666,4932.10,4932.10,
2066327,2026-04-01,0202010708,223415,2824,2824,43037.76,43037.76,
2066327,2026-04-01,0202010724,223415,5,5,22.10,22.10,
2066327,2026-04-01,0202010767,223415,2911,2911,44363.64,44363.64,
2066327,2026-04-01,0202020037,223415,3,3,8.19,8.19,
2066327,2026-04-01,0202020070,223415,38,38,103.74,103.74,
2066327,2026-04-01,0202020096,223415,29,29,79.17,79.17,
2066327,2026-04-01,0202020134,223415,190,190,1096.30,1096.30,
2066327,2026-04-01,0202020142,223415,202,202,551.46,551.46,
2066327,2026-04-01,0202020150,223415,224,224,611.52,611.52,
2066327,2026-04-01,0202020380,223415,4204,4204,17278.44,17278.44,
2066327,2026-04-01,0202020541,223415,2,2,5.46,5.46,
2066327,2026-04-01,0202030091,223415,12,12,180.72,180.72,
2066327,2026-04-01,0202030105,223415,677,677,11116.34,11116.34,
2066327,2026-04-01,0202030121,223415,2,2,34.32,34.32,
2066327,2026-04-01,0202030130,223415,2,2,34.32,34.32,
2066327,2026-04-01,0202030164,223415,15,15,138.75,138.75,
2066327,2026-04-01,0202030202,223415,243,243,687.69,687.69,
2066327,2026-04-01,0202030253,223415,2,2,20.00,20.00,
2066327,2026-04-01,0202030261,223415,2,2,20.00,20.00,
2066327,2026-04-01,0202030270,223415,2,2,17.34,17.34,
2066327,2026-04-01,0202030474,223415,7,7,19.81,19.81,
2066327,2026-04-01,0202030563,223415,1,1,17.16,17.16,
2066327,2026-04-01,0202030580,223415,1,1,17.16,17.16,
2066327,2026-04-01,0202030598,223415,29,29,497.64,497.64,
2066327,2026-04-01,0202030741,223415,36,36,396.00,396.00,
2066327,2026-04-01,0202030768,223415,242,242,4106.74,4106.74,
2066327,2026-04-01,0202030776,223415,11,11,101.75,101.75,
2066327,2026-04-01,0202030814,223415,4,4,68.64,68.64,
2066327,2026-04-01,0202030830,223415,3,3,51.48,51.48,
2066327,2026-04-01,0202030849,223415,1,1,17.16,17.16,
2066327,2026-04-01,0202030857,223415,36,36,417.96,417.96,
2066327,2026-04-01,0202030873,223415,242,242,4489.10,4489.10,
2066327,2026-04-01,0202030881,223415,12,12,111.00,111.00,
2066327,2026-04-01,0202030920,223415,4,4,68.64,68.64,
2066327,2026-04-01,0202030946,223415,3,3,51.48,51.48,
2066327,2026-04-01,0202030954,223415,1,1,17.16,17.16,
2066327,2026-04-01,0202030962,223415,12,12,160.20,160.20,
2066327,2026-04-01,0202031012,223415,125,125,512.50,512.50,
2066327,2026-04-01,0202031110,223415,456,456,1290.48,1290.48,
2066327,2026-04-01,0202031217,223415,9,9,120.15,120.15,
2066327,2026-04-01,0202031446,223415,213,213,3951.15,3951.15,
2066327,2026-04-01,0202031500,223415,185,185,1850.00,1850.00,
2066327,2026-04-01,0202031535,223415,61,61,1131.55,1131.55,
2066327,2026-04-01,0202040127,223415,705,705,1163.25,1163.25,
2066327,2026-04-01,0202040143,223415,1382,1382,2280.30,2280.30,
2066327,2026-04-01,0202050017,223415,3018,3018,11166.60,11166.60,
2066327,2026-04-01,0202050025,223415,22,22,77.22,77.22,
2066327,2026-04-01,0202050092,223415,588,588,4774.56,4774.56,
2066327,2026-04-01,0202060047,223415,5,5,51.00,51.00,
2066327,2026-04-01,0202060110,223415,2,2,23.06,23.06,
2066327,2026-04-01,0202060136,223415,17,17,167.62,167.62,
2066327,2026-04-01,0202060144,223415,6,6,67.50,67.50,
2066327,2026-04-01,0202060160,223415,198,198,2009.70,2009.70,
2066327,2026-04-01,0202060217,223415,34,34,266.90,266.90,
2066327,2026-04-01,0202060233,223415,240,240,1893.60,1893.60,
2066327,2026-04-01,0202060241,223415,188,188,1686.36,1686.36,
2066327,2026-04-01,0202060250,223415,3151,3151,28232.96,28232.96,
2066327,2026-04-01,0202060268,223415,109,109,1108.53,1108.53,
2066327,2026-04-01,0202060276,223415,11,11,474.43,474.43,
2066327,2026-04-01,0202060284,223415,6,6,92.10,92.10,
2066327,2026-04-01,0202060292,223415,115,115,1175.30,1175.30,
2066327,2026-04-01,0202060306,223415,133,133,1349.95,1349.95,
2066327,2026-04-01,0202060314,223415,6,6,79.14,79.14,
2066327,2026-04-01,0202060322,223415,1,1,15.35,15.35,
2066327,2026-04-01,0202060349,223415,77,77,803.11,803.11,
2066327,2026-04-01,0202060357,223415,38,38,498.18,498.18,
2066327,2026-04-01,0202060373,223415,112,112,981.12,981.12,
2066327,2026-04-01,0202060381,223415,2729,2729,31656.40,31656.40,
2066327,2026-04-01,0202060390,223415,62,62,540.02,540.02,
2066327,2026-04-01,0202070352,223415,3,3,46.95,46.95,
2066327,2026-04-01,0202080013,223415,8,8,39.84,39.84,
2066327,2026-04-01,0202080080,223415,8,8,44.96,44.96,
2066327,2026-04-01,0202090264,223415,2,2,9.60,9.60,
2066327,2026-04-01,0202120082,223415,127,127,173.99,173.99,
2066327,2026-04-01,0202120090,223415,53,53,144.69,144.69,
4038460,2026-04-01,0102010064,352210,11,11,0.00,0.00,
4038460,2026-04-01,0102010072,352210,68,68,0.00,0.00,
4038460,2026-04-01,0102010145,352210,4,4,0.00,0.00,
4038460,2026-04-01,0102010161,352210,24,24,0.00,0.00,
4038460,2026-04-01,0102010170,352210,142,142,0.00,0.00,
